Ticker,Company,Sector
A,Agilent Technologies,Information Technology
AAL,American Airlines Group,Industrials
AAPL,Apple,Information Technology
ABBV,AbbVie,Health Care
ABNB,Airbnb,Consumer Discretionary
ABT,Abbott Laboratories,Health Care
ACGL,Arch Capital Group,Financials
ACN,Accenture,Information Technology
ADBE,Adobe,Information Technology
ADI,Analog Devices,Information Technology
ADP,Automatic Data Processing,Information Technology
AEE,Ameren,Utilities
AEP,American Electric Power,Utilities
AES,AES Corporation,Utilities
AFL,Aflac,Financials
AIG,American International Group,Financials
AIZ,Assurant,Financials
AJG,Arthur J. Gallagher,Financials
AKAM,Akamai Technologies,Information Technology
ALB,Albemarle,Materials
ALGN,Align Technology,Health Care
ALL,Allstate,Financials
ALLE,Allegion,Industrials
AMAT,Applied Materials,Information Technology
AMCR,Amcor,Materials
AMD,Advanced Micro Devices,Information Technology
AME,AMETEK,Industrials
AMGN,Amgen,Health Care
AMP,Ameriprise Financial,Financials
AMT,American Tower,Real Estate
AMZN,Amazon,Consumer Discretionary
ANET,Arista Networks,Information Technology
APA,APA Corporation,Energy
APD,Air Products and Chemicals,Materials
APH,Amphenol,Information Technology
APP,AppLovin,Information Technology
APTV,Aptiv,Industrials
ARE,Alexandria Real Estate Equities,Real Estate
ARES,Ares Management,Financials
ARM,Arm Holdings,Information Technology
ATO,Atmos Energy,Utilities
AVB,AvalonBay Communities,Real Estate
AVGO,Broadcom,Information Technology
AVY,Avery Dennison,Materials
AWK,American Water Works,Utilities
AXON,Axon Enterprise,Industrials
AXP,American Express,Financials
AZO,AutoZone,Consumer Discretionary
BA,Boeing,Industrials
BAC,Bank of America,Financials
BALL,Ball Corporation,Materials
BAX,Baxter International,Health Care
BBWI,Bath & Body Works,Consumer Discretionary
BBY,Best Buy,Consumer Discretionary
BEN,Franklin Resources,Financials
BG,Bunge Global,Consumer Staples
BIIB,Biogen,Health Care
BIO,Bio-Rad Laboratories,Health Care
BK,Bank of New York Mellon,Financials
BKNG,Booking Holdings,Consumer Discretionary
BKR,Baker Hughes,Energy
BLDR,Builders FirstSource,Industrials
BLK,BlackRock,Financials
BMY,Bristol Myers Squibb,Health Care
BR,Broadridge Financial Solutions,Information Technology
BRK.B,Berkshire Hathaway,Financials
BRO,Brown & Brown,Financials
BSX,Boston Scientific,Health Care
BWA,BorgWarner,Industrials
BX,Blackstone,Financials
C,Citigroup,Financials
CAG,Conagra Brands,Consumer Staples
CAH,Cardinal Health,Health Care
CARR,Carrier Global,Industrials
CAT,Caterpillar,Industrials
CB,Chubb,Financials
CBOE,Cboe Global Markets,Financials
CBRE,CBRE Group,Real Estate
CCI,Crown Castle,Real Estate
CCL,Carnival,Consumer Discretionary
CDNS,Cadence Design Systems,Information Technology
CDW,CDW,Information Technology
CE,Celanese,Materials
CEG,Constellation Energy,Utilities
CF,CF Industries,Materials
CHRW,C.H. Robinson Worldwide,Industrials
CHTR,Charter Communications,Communication Services
CI,The Cigna Group,Health Care
CINF,Cincinnati Financial,Financials
